RequestID,Boro,Date,Yr,M,D,SegmentID,WktGeom,street,fromSt,toSt,morning,afternoon,evening,total_7_24,directions_n,direction_coverage
31042,Brooklyn,2022-10-12,2022,10,12,27354,POINT (997314.9380868975 160616.5621324816),OCEAN AVENUE,Quentin Road,Avenue R,2294.0,3479.0,2872.0,8645.0,1,one_direction
33914,Brooklyn,2022-05-08,2022,5,8,19253,POINT (989173.0348284974 150290.92403181392),NEPTUNE AVENUE,West 15 Street,Stillwell Avenue,1105.0,2337.0,1294.0,4736.0,1,one_direction
33914,Brooklyn,2022-05-08,2022,5,8,109157,POINT (988500.5273304215 150219.539051663),NEPTUNE AVENUE,West 16 Street,Cropsey Avenue,1280.0,3388.0,1587.0,6255.0,1,one_direction
33914,Brooklyn,2022-05-08,2022,5,8,109272,POINT (988303.9584575375 150354.95026450782),CROPSEY AVENUE,Hart Place,Dead end,6014.0,10600.0,7479.0,24093.0,2,two_directions
33914,Brooklyn,2022-05-09,2022,5,9,19253,POINT (989173.0348284974 150290.92403181392),NEPTUNE AVENUE,West 15 Street,Stillwell Avenue,2201.0,3032.0,1419.0,6652.0,1,one_direction
33914,Brooklyn,2022-05-09,2022,5,9,109157,POINT (988500.5273304215 150219.539051663),NEPTUNE AVENUE,West 16 Street,Cropsey Avenue,2253.0,3514.0,1800.0,7567.0,1,one_direction
33914,Brooklyn,2022-05-09,2022,5,9,109272,POINT (988303.9584575375 150354.95026450782),CROPSEY AVENUE,Hart Place,Dead end,9407.0,11872.0,7393.0,28672.0,2,two_directions
33914,Brooklyn,2022-05-10,2022,5,10,19253,POINT (989173.0348284974 150290.92403181392),NEPTUNE AVENUE,West 15 Street,Stillwell Avenue,2311.0,3112.0,1392.0,6815.0,1,one_direction
33914,Brooklyn,2022-05-10,2022,5,10,109157,POINT (988500.5273304215 150219.539051663),NEPTUNE AVENUE,West 16 Street,Cropsey Avenue,2423.0,3607.0,1819.0,7849.0,1,one_direction
33914,Brooklyn,2022-05-10,2022,5,10,109272,POINT (988303.9584575375 150354.95026450782),CROPSEY AVENUE,Hart Place,Dead end,9610.0,11542.0,7580.0,28732.0,2,two_directions
33914,Brooklyn,2022-05-11,2022,5,11,19253,POINT (989173.0348284974 150290.92403181392),NEPTUNE AVENUE,West 15 Street,Stillwell Avenue,2184.0,3078.0,1555.0,6817.0,1,one_direction
33914,Brooklyn,2022-05-11,2022,5,11,109157,POINT (988500.5273304215 150219.539051663),NEPTUNE AVENUE,West 16 Street,Cropsey Avenue,2196.0,3411.0,1824.0,7431.0,1,one_direction
33914,Brooklyn,2022-05-11,2022,5,11,109272,POINT (988303.9584575375 150354.95026450782),CROPSEY AVENUE,Hart Place,Dead end,9499.0,11702.0,7936.0,29137.0,2,two_directions
33914,Brooklyn,2022-11-13,2022,11,13,19253,POINT (989173.0348284974 150290.92403181392),NEPTUNE AVENUE,West 15 Street,Stillwell Avenue,1652.0,2583.0,1409.0,5644.0,1,one_direction
33914,Brooklyn,2022-11-13,2022,11,13,163033,POINT (993132.5637410539 149241.02433714102),BRIGHTON BEACH AVENUE,Beach Walk,Brighton Line,737.0,1641.0,1040.0,3418.0,1,one_direction
33914,Brooklyn,2022-11-14,2022,11,14,163033,POINT (993132.5637410539 149241.02433714102),BRIGHTON BEACH AVENUE,Beach Walk,Brighton Line,573.0,1243.0,890.0,2706.0,1,one_direction
33914,Brooklyn,2022-11-15,2022,11,15,163033,POINT (993132.5637410539 149241.02433714102),BRIGHTON BEACH AVENUE,Beach Walk,Brighton Line,1378.0,2281.0,1441.0,5100.0,1,one_direction
33914,Brooklyn,2022-11-16,2022,11,16,163033,POINT (993132.5637410539 149241.02433714102),BRIGHTON BEACH AVENUE,Beach Walk,Brighton Line,1244.0,2054.0,1299.0,4597.0,1,one_direction
33914,Brooklyn,2022-11-17,2022,11,17,163033,POINT (993132.5637410539 149241.02433714102),BRIGHTON BEACH AVENUE,Beach Walk,Brighton Line,1225.0,2007.0,1330.0,4562.0,1,one_direction
33914,Brooklyn,2022-11-18,2022,11,18,163033,POINT (993132.5637410539 149241.02433714102),BRIGHTON BEACH AVENUE,Beach Walk,Brighton Line,1213.0,2026.0,1372.0,4611.0,1,one_direction
33914,Brooklyn,2022-11-19,2022,11,19,163033,POINT (993132.5637410539 149241.02433714102),BRIGHTON BEACH AVENUE,Beach Walk,Brighton Line,1414.0,2205.0,1483.0,5102.0,1,one_direction
34045,Brooklyn,2022-11-14,2022,11,14,46758,POINT (1014196.6735680631 176778.5620351809),GLENWOOD ROAD,Williams Avenue,Cozine Avenue,544.0,950.0,468.0,1962.0,1,one_direction
34045,Brooklyn,2022-11-14,2022,11,14,110505,POINT (1015422.3127425865 180891.90488522797),VAN SICLEN AVENUE,Dead End,Hegeman Avenue,510.0,1338.0,896.0,2744.0,1,one_direction
34045,Brooklyn,2022-11-15,2022,11,15,46758,POINT (1014196.6735680631 176778.5620351809),GLENWOOD ROAD,Williams Avenue,Cozine Avenue,796.0,1001.0,429.0,2226.0,1,one_direction
34045,Brooklyn,2022-11-15,2022,11,15,110505,POINT (1015422.3127425865 180891.90488522797),VAN SICLEN AVENUE,Dead End,Hegeman Avenue,978.0,1420.0,724.0,3122.0,1,one_direction
34045,Brooklyn,2022-11-16,2022,11,16,46758,POINT (1014196.6735680631 176778.5620351809),GLENWOOD ROAD,Williams Avenue,Cozine Avenue,809.0,1176.0,482.0,2467.0,1,one_direction
