Rank,Street,Segment ID,Priority Score,Crash / mi,VRU Injuries / mi,Schools,Subway Entrances,Vision Zero,Connectivity
1,WEST 42 STREET,34053,0.787,613.4,245.4,0,11,1,2
2,EAST 106 STREET,38073,0.775,426.5,166.4,4,0,1,1
3,EAST 110 STREET,294216,0.77,467.3,155.8,3,4,1,1
4,3 AVENUE,70194,0.764,558.2,157.0,2,8,1,1
5,EAST 119 STREET,313783,0.762,393.0,115.6,4,0,1,1
6,EAST 59 STREET,165612,0.746,374.9,210.0,0,0,1,2
7,BLAKE AVENUE,43986,0.742,423.7,121.1,5,0,1,0
8,EAST 138 STREET,265870,0.742,417.1,117.3,2,4,1,1
9,EAST 20 STREET,127583,0.733,350.0,123.5,3,0,1,1
10,EAST 106 STREET,218423,0.724,424.6,106.1,3,0,1,1
