OBJECTID,Street,SAFStreetName,FeatureTyp,SegmentTyp,IncExFlag,RB_Layer,NonPed,TrafDir,TrafSrc,SpecAddr,FaceCode,SeqNum,StreetCode,SAFStreetCode,LGC1,LGC2,LGC3,LGC4,LGC5,LGC6,LGC7,LGC8,LGC9,BOE_LGC,SegmentID,SegCount,LocStatus,LZip,RZip,LBoro,RBoro,L_CD,R_CD,LATOMICPOLYGON,RATOMICPOLYGON,LCT2020,LCT2020Suf,RCT2020,RCT2020Suf,LCB2020,LCB2020Suf,RCB2020,RCB2020Suf,LCT2010,LCT2010Suf,RCT2010,RCT2010Suf,LCB2010,LCB2010Suf,RCB2010,RCB2010Suf,LCT2000,LCT2000Suf,RCT2000,RCT2000Suf,LCB2000,LCB2000Suf,RCB2000,RCB2000Suf,LCT1990,LCT1990Suf,RCT1990,RCT1990Suf,LAssmDist,LElectDist,RAssmDist,RElectDist,SplitElect,LSchlDist,RSchlDist,SplitSchl,LSubSect,RSubSect,SanDistInd,MapFrom,MapTo,BoroBndry,MH_RI_Flag,XFrom,YFrom,XTo,YTo,ArcCenterX,ArcCenterY,CurveFlag,Radius,NodeIDFrom,NodeIDTo,NodeLevelF,NodeLevelT,ConParity,Twisted,RW_TYPE,PhysicalID,GenericID,NYPDID,FDNYID,LBlockFaceID,RBlockFaceID,LegacyID,Status,StreetWidth_Min,StreetWidth_Max,StreetWidth_Irr,BikeLane,BIKE_TRAFDIR,ACTIVE_FLAG,POSTED_SPEED,Snow_Priority,Number_Travel_Lanes,Number_Park_Lanes,Number_Total_Lanes,Carto_Display_Level,FCC,ROW_Type,LLo_Hyphen,LHi_Hyphen,RLo_Hyphen,RHi_Hyphen,FromLeft,ToLeft,FromRight,ToRight,Join_ID,L_PD_Service_Area,R_PD_Service_Area,TRUCK_ROUTE_TYPE,SHAPE_Length,facility_classes,allclasses,ft_facilities,tf_facilities,route_records,crash_count,persons_injured,persons_killed,ped_injured,ped_killed,cyclist_injured,cyclist_killed,motorist_injured,motorist_killed,afternoon,evening,morning,vru_injured,vru_killed,traffic_days,morning_traffic,afternoon_traffic,evening_traffic,total_7_24_traffic,school_count_500ft,subway_count_500ft,vz_priority,length_ft,length_mi,crash_den_mi,vru_injury_den_mi,crash_den_capped,vru_den_capped,crash_norm,vru_norm,school_norm,subway_norm,final_score,rank,score_balanced,score_safety,score_access,scenario_hits,near_protected_network,start_connected,end_connected,connectivity_score,connectivity_norm,final_score_v2,rank_v2,score_balanced_v2,score_safety_v2,score_access_v2
102628,WEST 42 STREET,                                ,0,U, ,B, ,T,DOT, ,4990,02030,134610,      ,01,  ,  ,  ,  ,  ,  ,  ,  ,1,34053,2,X,10036,10036,1.0,1.0,105,105,108,107, 113,  , 119,  ,1001, ,1005, , 113,  , 119,  ,1001, ,1006, , 113,  , 119,  ,1001, ,1006, , 113,  , 119,  ,75,023,75,023, ,02,02,,1A,2A,L,8D ,8D , , ,988017,214638,987866,214721,0,0, ,0,0021456,0021407,M,M, , , 1,1733.0,1513.0,       ,       ,1222601284,1222603501,0034053,2,55.0,55.0, , 3,TF,,25,C, 2, 2, 4,10,  , ,    170,    198,    173,    199,170,198,173,199,1499001000000, , ,2,172.15806396180298,III,III,,"Shared,Signed Route",2,20.0,11.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,7.0,11.0,2.0,8.0,0.0,,,,,,0,11,1,172.15806396180298,0.03260569393215965,613.3897975492433,245.35591901969732,380.0526225696338,121.69642606045448,1.0,1.0,0.0,0.36666666666666664,0.7366666666666666,17,0.7366666666666666,0.8683333333333334,0.605,3,1,1,1,2,1.0,0.7866666666666666,1,0.7866666666666666,0.8683333333333333,0.655
102789,EAST 106 STREET,                                ,0,U, ,B, ,T,DOT, ,2100,00040,119090,      ,01,03,  ,  ,  ,  ,  ,  ,  ,1,38073,2, ,10029,10029,1.0,1.0,111,111,202,203, 172,  , 172,  ,4001, ,4002, , 172,  , 172,  ,4001, ,4002, , 172,01, 172,01,2001, ,2002, , 172,01, 172,01,68,044,68,044, ,04,04,,1A,1A, ,6B ,6B , , ,999125,227918,999569,227672,0,0, ,0,0023827,0023830,M,M, , , 1,27914.0,23965.0,       ,       ,1322603764,1322605266,0038073,2,60.0,60.0, , 2,TW,,25,C, 4, 2, 6,,  , ,    143,    199,    136,    198,143,199,136,198,1210001030000, , , ,507.6182704607023,II,II,Conventional,Conventional,1,41.0,29.0,0.0,11.0,0.0,5.0,0.0,11.0,0.0,17.0,16.0,8.0,16.0,0.0,,,,,,4,0,1,507.6182704607023,0.09613982395089059,426.4621913697627,166.42426980283423,380.0526225696338,121.69642606045448,1.0,1.0,0.5,0.0,0.7999999999999999,2,0.7999999999999999,0.9000000000000001,0.7,3,1,0,1,1,0.5,0.775,2,0.775,0.8500000000000001,0.6499999999999999
115594,EAST 110 STREET,                                ,0,U, ,B, ,W,DOT, ,2140,00057,119170,      ,01,02,  ,  ,  ,  ,  ,  ,  ,1,294216,1, ,10029,10029,1.0,1.0,111,111,104,101, 172,  , 172,  ,1003, ,5000, , 172,  , 172,  ,1003, ,5000, , 172,02, 172,01,1003, ,1000, , 172,02, 172,01,68,028,68,036, ,04,04,,2A,1A, ,6B ,6B , , ,999937,228688,1000085,228606,0,0, ,0,9045211,0042006,M,M, , , 1,172131.0,158468.0,       ,       ,1322606695,1322607074,0038091,2,30.0,30.0, , 2,FT,,25,C, 1, 2, 3,10,  , ,    171,    199,    174,    198,171,199,174,198,1214001020000, , , ,169.48046251959502,II,II,Conventional,,1,15.0,12.0,0.0,4.0,0.0,1.0,0.0,5.0,0.0,8.0,6.0,1.0,5.0,0.0,,,,,,3,4,1,169.48046251959502,0.032098572446892994,467.31050188657025,155.7701672955234,380.0526225696338,121.69642606045448,1.0,1.0,0.375,0.13333333333333333,0.7883333333333333,4,0.7883333333333333,0.8941666666666668,0.6825,3,1,0,1,1,0.5,0.7695833333333334,3,0.7695833333333334,0.8441666666666667,0.6387499999999999
3772,3 AVENUE,                                ,0,U, ,B, ,T,DOT, ,7080,05210,268020,      ,01,  ,  ,  ,  ,  ,  ,  ,  ,1,70194,1,X,10455,10455,2.0,2.0,201,201,104,304,  65,  ,  71,  ,4003, ,2011, ,  65,  ,  71,  ,4004, ,2015, ,  65,  ,  71,  ,1006, ,3002, ,  65,  ,  71,  ,84,018,84,019, ,07,07,,1B,1B, ,6A ,6A , , ,1007046,236603,1007290,236782,0,0, ,0,0043069,0043073,M,M, , , 1,35996.0,31195.0,       ,       ,1422606334,1422605504,0070194,2,48.0,50.0, , 3,FT,,25,C, 2, 2, 4,,  , ,   2849,   2873,   2850,   2876,2849,2873,2850,2876,2708001000000, , ,2,302.67331700818903,III,III,Shared,,1,32.0,24.0,1.0,6.0,1.0,3.0,0.0,13.0,0.0,13.0,12.0,7.0,9.0,1.0,,,,,,2,8,1,302.6733170008197,0.057324491856215846,558.2256198670543,157.00095558760904,380.0526225696338,121.69642606045448,1.0,1.0,0.25,0.26666666666666666,0.7766666666666666,6,0.7766666666666666,0.8883333333333334,0.665,3,1,0,1,1,0.5,0.7641666666666667,4,0.7641666666666667,0.8383333333333334,0.6275
118721,EAST 119 STREET,                                ,0,U, ,B, ,A,DOT, ,2210,00069,119330,      ,01,  ,  ,  ,  ,  ,  ,  ,  ,1,313783,1,X,10035,10035,1.0,1.0,111,111,203,101, 194,  , 188,  ,2000, ,1000, , 194,  , 188,  ,2000, ,1000, , 194,  , 188,  ,2000, ,1000, , 194,  , 188,  ,68,021,68,032, ,04,04,,2B,2B, ,6B ,6B , , ,1002327,230103,1002526,229992,0,0, ,0,9052517,0042122,M,M, , , 1,181490.0,167498.0,       ,       ,1322606765,1322604940,0069167,2,30.0,30.0, , 2,TF,,25,S, 1, 2, 3,,  , ,    335,    399,    344,    398,335,399,344,398,1221001000000, , , ,228.4146431744217,II,II,,Conventional,1,17.0,8.0,0.0,2.0,0.0,3.0,0.0,2.0,0.0,6.0,6.0,5.0,5.0,0.0,,,,,,4,0,1,228.4146431744217,0.04326034908606472,392.96955200660045,115.5792800019413,380.0526225696338,115.5792800019413,1.0,0.949734382047716,0.5,0.0,0.7874335955119289,5,0.7874335955119289,0.8824070337167007,0.6899468764095432,3,1,0,1,1,0.5,0.7624335955119289,5,0.7624335955119289,0.8349203146143149,0.6424601573071573
106494,EAST 59 STREET,HONEY LOCUST PARK               ,0,U, ,B, ,T,DOT,N,1730,00070,118170,112775,01,  ,  ,  ,  ,  ,  ,  ,  ,1,165612,2,X,10022,10022,1.0,1.0,108,106,104,108, 110,  , 108,02,6003, ,1000, , 110,  , 108,  ,6004, ,1000, , 110,  , 108,  ,1012, ,1000, , 110,  , 108,  ,73,035,73,072, ,02,02,,1B,3B, ,8C ,8D , , ,994478,216198,994787,216029,0,0, ,0,0078759,0022826,M,M, , , 1,72726.0,63198.0,       ,       ,1222601129,1222600781,0165612,2,40.0,44.0, , 3,TW,,25,C, 2, 2, 4,,  , ,,,,,0,0,0,0,11277501000000N, , ,2,352.07198456264695,III,III,Shared,Shared,1,25.0,21.0,0.0,5.0,0.0,9.0,0.0,5.0,0.0,13.0,5.0,7.0,14.0,0.0,3.0,1470.0,2061.0,1310.0,4961.0,0,0,1,352.07198456264695,0.06668030010656192,374.92332758022155,209.95706344492407,374.92332758022155,121.69642606045448,0.9865037242613095,1.0,0.0,0.0,0.6952763034914583,48,0.6952763034914583,0.8439266759175893,0.5466259310653274,2,1,1,1,2,1.0,0.7459511172783928,6,0.7459511172783928,0.8446014897045239,0.5973007448522619
54193,BLAKE AVENUE,                                ,0,U, ,B, ,T,DOT, ,1340,00140,319830,      ,01,  ,  ,  ,  ,  ,  ,  ,  ,1,43986,1, ,11212,11212,3.0,3.0,316,316,102,104, 924,  , 924,  ,2000, ,2005, , 924,  , 924,  ,2000, ,2005, , 914,  , 914,  ,1000, ,1001, , 914,  , 914,  ,55,047,55,043, ,23,23,,2A,2A, ,17D,17D, , ,1009045,181745,1009302,181795,0,0, ,0,0027244,0027246,M,M, , , 1,73064.0,63504.0,       ,       ,2022603452,2022604365,0043986,2,34.0,34.0, , 3,TW,,25,C, 2, 2, 4,,  , ,    241,    263,    242,    264,241,263,242,264,3134001000000, , , ,261.70409257382295,III,III,Shared,Shared,1,21.0,20.0,0.0,4.0,0.0,2.0,0.0,13.0,0.0,5.0,6.0,10.0,6.0,0.0,,,,,,5,0,1,261.70409257382295,0.04956516904807253,423.6846237653786,121.05274964725103,380.0526225696338,121.05274964725103,1.0,0.9947108026583813,0.625,0.0,0.8236777006645953,1,0.8236777006645953,0.9106487809304336,0.7364421605316762,3,0,0,0,0,0.0,0.7424277006645953,7,0.7424277006645953,0.8109132407975144,0.6054566203987571
26814,EAST 138 STREET,                                ,0,U, ,B, ,T,DOT, ,2350,00180,225800,      ,01,  ,  ,  ,  ,  ,  ,  ,  ,1,265870,1,X,10454,10454,2.0,2.0,201,201,303,107,  39,  ,  23,  ,2001, ,2000, ,  39,  ,  23,  ,2001, ,2000, ,  39,  ,  23,  ,3001, ,1000, ,  39,  ,  23,  ,84,042,84,042, ,07,07,,1A,1A, ,6A ,6A , , ,1005242,234261,1005597,234066,0,0, ,0,9036928,0042922,M,M, , , 1,151216.0,137644.0,       ,       ,1422607472,1322600735,0069779,2,50.0,50.0, , 2,TW,,25,C, 2, 2, 4,,  , ,    355,    397,    356,    398,355,397,356,398,2235001000000, , ,2,405.1300722515166,II,II,Conventional,Conventional,2,32.0,19.0,0.0,5.0,0.0,4.0,0.0,8.0,0.0,15.0,11.0,6.0,9.0,0.0,,,,,,2,4,1,405.1300722515166,0.07672918035066602,417.05124248368486,117.29566194853636,380.0526225696338,117.29566194853636,1.0,0.963838181166208,0.25,0.13333333333333333,0.7542928786248853,9,0.7542928786248853,0.8690100300748396,0.6377676362332416,3,1,0,1,1,0.5,0.7417928786248853,8,0.7417928786248853,0.8208181210165293,0.6020757271749312
99030,EAST 20 STREET,LEARNING SPRING SCHOOL          ,0,U, ,B, ,W,DOT,N,1440,00070,117390,101719,01,05,  ,  ,  ,  ,  ,  ,  ,1,127583,2, ,10003,10003,1.0,1.0,106,106,302,301,  64,  ,  64,  ,2002, ,3000, ,  64,  ,  64,  ,2001, ,3000, ,  64,  ,  64,  ,3000, ,5000, ,  64,97,  64,98,74,051,74,055, ,02,02,,1A,1A, ,12C,12C, , ,988715,207677,989164,207429,0,0, ,0,0075974,0020995,M,M, , , 1,67893.0,59050.0,       ,       ,1222602392,1222605830,0127583,2,32.0,32.0, , 3,FT,,25,C, 1, 2, 3,,  , ,,,,,0,0,0,0,10171901000000N, , , ,512.8776724595933,III,III,Shared,,1,34.0,15.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,15.0,6.0,13.0,12.0,0.0,,,,,,3,0,1,512.8776724595933,0.09713592281431692,350.0249857613822,123.53823026872313,350.0249857613822,121.69642606045448,0.9209908443593232,1.0,0.375,0.0,0.747346795525763,13,0.747346795525763,0.8519458799616955,0.6427477110898309,3,1,0,1,1,0.5,0.732547253307797,9,0.732547253307797,0.8058963377437294,0.6029481688718646
110962,EAST 106 STREET,FRANKLIN PLAZA BUILDING 3       ,0,U, ,B, ,T,DOT,X,2100,00055,119090,120882,01,03,  ,  ,  ,  ,  ,  ,  ,1,218423,2, ,10029,10029,1.0,1.0,111,111,106,302, 170,  , 170,  ,1001, ,2000, , 170,  , 170,  ,1002, ,2000, , 170,  , 170,  ,1001, ,3000, , 170,  , 170,  ,68,044,68,045, ,04,04,,1B,1B, ,6B ,6B , , ,999842,227521,1000190,227329,0,0, ,0,9027388,0042003,M,M, , , 1,116711.0,104466.0,       ,       ,1322602547,1322605112,0038080,2,60.0,60.0, , 2,TW,,25,C, 4, 2, 6,,  , ,,,,,0,0,0,0,12088205000000X, , , ,397.95835261826045,II,II,Conventional,Conventional,1,32.0,16.0,0.0,4.0,0.0,4.0,0.0,8.0,0.0,13.0,10.0,9.0,8.0,0.0,,,,,,3,0,1,397.95835261826045,0.07537090011709478,424.5670404663526,106.14176011658815,380.0526225696338,106.14176011658815,1.0,0.872184693935553,0.375,0.0,0.7430461734838881,14,0.7430461734838881,0.8427646428774436,0.6369369387871106,3,1,0,1,1,0.5,0.7242961734838883,10,0.7242961734838883,0.799155408180666,0.599577704090333
